,id,title,artist,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
21,7rI8NaGdlHTXh68RRwJEx6,90-Mile Water Wall,The National,2003,0.459,0.461,4,-8.167,1,0.0272,0.809,0.0591,0.104,0.106,103.183,224360
22,1ESSN0SqcPkA0TnmUz0MLm,It Never Happened,The National,2003,0.396,0.601,7,-8.342,1,0.0292,0.0902,0.637,0.252,0.181,133.251,277320
23,0s7r3qJ9igNWKjmG4bohXg,Murder Me Rachael,The National,2003,0.219,0.698,7,-4.765,1,0.0462,0.000954,0.839,0.107,0.207,147.985,225667
24,2Tc2GAbn05Qhekvvcr53Vp,Thirsty,The National,2003,0.529,0.385,7,-8.682,0,0.0265,0.199,0.292,0.32,0.498,130.956,228320
25,1SAbuxCnHtL0JjVec9aUVp,Available,The National,2003,0.297,0.871,1,-5.331,0,0.0619,0.00178,0.843,0.206,0.178,143.921,200027
26,5TaFWxhd3yILj0tmroeMVc,Sugar Wife,The National,2003,0.706,0.543,7,-9.875,0,0.0339,0.37,0.603,0.0796,0.863,110.092,141613
27,6lS2isFy2IWis7yXndBzdd,Trophy Wife,The National,2003,0.622,0.65,0,-9.713,1,0.0276,0.168,0.311,0.105,0.876,123.571,212907
28,5Ptu0t3YnytoIkV1CHKiUT,Fashion Coat,The National,2003,0.66,0.754,4,-6.506,1,0.059,0.13,0.00021,0.164,0.61,125.515,122667
29,0VfdJ1Pm3KH6OvVeuKofM7,Patterns of Fairytales,The National,2003,0.58,0.472,0,-9.674,1,0.0373,0.762,0.859,0.133,0.249,155.121,223827
30,4vj2E6lBenyt89cA1BmRsC,Lucky You,The National,2003,0.61,0.515,4,-8.882,1,0.0253,0.672,0.835,0.107,0.121,138.248,262160
31,2GQ1yZonzJ3OvwtGwtalQo,Beautiful Head,The National,2001-07-03,0.569,0.678,4,-8.735,1,0.0529,0.536,0.0367,0.0952,0.585,148.064,188400
32,71BVQ0mO9JSb6eS1D7Kdm0,Cold Girl Fever,The National,2001-07-03,0.79,0.396,9,-11.737,1,0.0436,0.788,0.739,0.112,0.594,117.995,246000
33,5g56mUgUJzZyXA3QrCMFIk,The Perfect Song,The National,2001-07-03,0.538,0.525,7,-9.348,1,0.0318,0.0242,0.239,0.092,0.461,125.72,195200
34,5Vny8RTpHn1tCoFdSAblJK,American Mary,The National,2001-07-03,0.64,0.324,7,-10.865,1,0.0272,0.544,0.0103,0.103,0.339,135.858,242893
35,3ycdZ665myY1HtOa2O3e1a,Son,The National,2001-07-03,0.76,0.477,0,-10.733,1,0.0298,0.0503,0.639,0.08,0.313,125.016,319733
36,5tf8adH7TPOPi2PUYy0JhN,Pay For Me,The National,2001-07-03,0.643,0.721,7,-8.074,1,0.0354,0.000301,0.0402,0.0789,0.378,122.263,202640
37,1FVEd8Xj4Px94EYzTCJu5Y,Bitters & Absolut,The National,2001-07-03,0.724,0.46,7,-13.282,1,0.0359,0.381,0.484,0.306,0.361,123.976,240027
38,048l4Jra9KOOaChJ37xhbd,John's Star,The National,2001-07-03,0.573,0.688,1,-8.372,1,0.0315,0.0354,0.0288,0.108,0.779,130.313,184867
39,5OClzWpstrjUmhHZqWizUu,Watching You Well,The National,2001-07-03,0.565,0.329,0,-11.866,1,0.0264,0.296,0.27,0.337,0.29,79.1,182440
40,04ZsnIwD3NgRLAYnfgMJXZ,Theory of the Crows,The National,2001-07-03,0.465,0.426,2,-9.042,1,0.0282,0.00292,0.574,0.11,0.166,134.216,276600
41,62A4OfzGcHffgrXnSiwgDT,29 Years,The National,2001-07-03,0.512,0.309,0,-21.426,1,0.211,0.927,0.38,0.337,0.0805,142.998,170493
42,7oiOSR2GELfik1yPj5VHvk,Anna Freud,The National,2001-07-03,0.849,0.266,9,-12.207,1,0.0453,0.45,0.299,0.11,0.519,100.915,187267
43,22V6MxhqgDVxSN20I6bycB,You’ve Done It Again Virginia,The National,2005-11-14,0.719,0.158,9,-16.816,0,0.0743,0.933,0.307,0.0868,0.364,122.247,186813
44,5n3s8MrwZLrMkrE1R2weAT,Wake Up Your Saints,The National,2010-11-22,0.524,0.689,8,-7.275,0,0.0304,0.168,0.0381,0.0699,0.409,168.087,254040
45,5aCnL27dI95P0r1uGPRqfD,You Were A Kindness,The National,2010-11-22,0.374,0.562,5,-8.374,1,0.0291,0.669,0.755,0.156,0.294,80.911,265560
46,7i1Sth8NmpLwvYAvyxo1R6,Walk Off,The National,2010-11-22,0.545,0.304,4,-9.066,0,0.0317,0.929,0.00421,0.095,0.158,71.94,160533
47,1ddp1oxOXc0UYAakLgbdib,Sin-Eaters,The National,2010-11-22,0.533,0.448,10,-9.104,0,0.0304,0.632,0.539,0.117,0.316,161.911,219387
48,1IbFHfVWUDNkhSY9PWt9th,Exile Vilify (From the Game Portal 2),The National,2011-04-19,0.512,0.373,8,-11.765,0,0.0289,0.777,0.501,0.11,0.204,120.059,285000
49,4ARUe13SJ4Ca1OpIjqtjVO,Think You Can Wait (From the Film Win Win),The National,2011-03-22,0.45,0.354,8,-12.4,0,0.027,0.769,0.884,0.112,0.403,154.165,277984
50,6IATEuuMeh5SymNQucovVo,"The Rains Of Castomere - From The ""Game Of Thrones: Season 2"" Soundtrack",The National,2012-01-01,0.397,0.0882,2,-23.012,0,0.0339,0.642,0.204,0.323,0.201,94.278,144253
51,4VeQ05HWIFQ1gqhsB2dvdq,Sunshine on My Back,The National,2015-04-02,0.511,0.808,2,-8.508,1,0.0408,0.239,0.0229,0.11,0.0806,116.892,219590
52,1hBSRE3ew8uQdb0tzkV6h5,Learning,The National,2013,0.374,0.19,0,-15.215,1,0.033,0.97,0.139,0.113,0.0795,123.237,181053
53,6UQZLRDqAYu3jD3PtepfBi,Lean - From “The Hunger Games: Catching Fire” Soundtrack,The National,2013-01-01,0.562,0.483,7,-8.87,1,0.031,0.742,0.622,0.0806,0.408,112.057,271267
54,2h0L6HcKZLpzEabxqQD8nH,Peggy-O,The National,2016-05-20,0.528,0.553,9,-13.786,1,0.0435,0.636,0.871,0.149,0.202,118.938,335288
55,1kyaGbDsB3ZyjyDYRQaHSe,Morning Dew,The National,2016-05-20,0.398,0.667,7,-7.004,1,0.0292,0.167,0.781,0.309,0.426,82.01,334898
