,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
67,67,1COXMzXT4JxnQCePCeptPP,ALL IN,Stray Kids,JYP,2020-10-27,0.74,0.834,0,-5.751,1,0.0392,0.0,0.0568,0.775,139.961,187187,4
68,68,6ilFCE6Ec0g4i6qbay0t6s,FAM,Stray Kids,JYP,2020-10-27,0.885,0.788,7,-4.376,1,0.066,0.0,0.0688,0.335,105.03,215067,4
69,69,4GyHQOpfrElhvKjIfXSEf3,One Day,Stray Kids,JYP,2020-10-27,0.76,0.81,8,-5.209,1,0.146,0.0,0.072,0.542,145.054,193187,4
70,70,2PujZcAaAMGsOeTUjrzkrz,Hello Stranger,Stray Kids,JYP,2020-07-16,0.706,0.865,8,-3.103,1,0.0232,0.0,0.328,0.667,99.999,239653,4
71,71,3Ea1CNsTqBY4RtAESrBeNI,Going Dumb (with Stray Kids),Alesso,JYP,2021-03-19,0.834,0.651,6,-4.855,0,0.153,0.0,0.146,0.49,121.978,169506,4
72,72,5RvuQYqw1KZanRWDGAZrQd,CHEESE,Stray Kids,JYP,2021-08-23,0.376,0.947,2,-2.388,1,0.0299,0.0,0.164,0.578,89.634,182080,3
73,73,3ihf9gTcRUz7EvkFnoh5TW,Thunderous,Stray Kids,JYP,2021-08-23,0.613,0.785,1,-3.706,1,0.214,0.0,0.209,0.787,172.194,183267,4
74,74,5JIzb3fBZkHccwxnArc5j6,DOMINO,Stray Kids,JYP,2021-08-23,0.688,0.868,7,-2.007,1,0.0312,0.0,0.0753,0.684,160.056,198720,4
75,75,04tdHVB1dqr7uT9aiWEGPw,SSICK,Stray Kids,JYP,2021-08-23,0.669,0.83,5,-2.917,0,0.0149,0.0,0.427,0.502,169.972,190147,4
76,76,2Sge3diCXX5ffrzoTHVaj4,The View,Stray Kids,JYP,2021-08-23,0.763,0.812,1,-4.134,1,0.058,0.0,0.137,0.626,109.999,201747,4
77,77,1W9Kx4Oc7FbNbgYKmZSQhb,"Sorry, I Love You",Stray Kids,JYP,2021-08-23,0.744,0.659,1,-5.285,1,0.359,0.0,0.204,0.616,100.022,177613,4
78,78,0EetZOEMuGdEEz4x2q4VlM,Silent Cry,Stray Kids,JYP,2021-08-23,0.696,0.876,5,-2.505,0,0.137,0.0,0.279,0.587,104.044,209507,4
79,79,7A89GWdxMq1mXjjN3pFMKj,Secret Secret,Stray Kids,JYP,2021-08-23,0.655,0.742,0,-4.634,1,0.228,0.0,0.272,0.368,73.958,209987,4
80,80,5NWI3uy93q5AzLNTQurZYO,Star Lost,Stray Kids,JYP,2021-08-23,0.747,0.861,0,-3.032,1,0.0744,0.0,0.172,0.568,128.046,215240,4
81,81,2mUKh4aIxzXHHd0v9CSd8b,"Red Lights (Bang Chan, Hyunjin)",Stray Kids,JYP,2021-08-23,0.709,0.74,11,-4.276,0,0.181,0.0,0.548,0.339,127.993,189907,4
82,82,1FqLWBedYhhH6CYQIMFxzz,"Surfin’ (Lee Know, Changbin, Felix)",Stray Kids,JYP,2021-08-23,0.766,0.756,0,-4.644,1,0.0545,0.0,0.231,0.537,104.973,191333,4
83,83,52xPskWQ0NyOo42jRxcr5v,"Gone Away (HAN, Seungmin, I.N)",Stray Kids,JYP,2021-08-23,0.514,0.743,1,-4.895,1,0.167,0.0,0.363,0.386,143.869,241280,4
84,84,0x7ocubkczpfHNnB3eW0Dm,WOLFGANG,Stray Kids,JYP,2021-08-23,0.523,0.85,2,-3.48,0,0.0534,0.0,0.0787,0.139,161.576,190865,4
85,85,3W9xYk4icAY3LbmUTPE7TU,Mixtape : OH,Stray Kids,JYP,2021-08-23,0.745,0.684,11,-4.398,0,0.201,0.0,0.149,0.629,87.98,212480,4
86,86,4C9Zhjq5ux9ieiDWYfFcfP,Scars,Stray Kids,JYP,2021-10-06,0.542,0.671,0,-4.109,1,0.0303,0.0,0.123,0.451,79.997,200547,4
87,87,40eQ3f56CJ34Io5JXKn5rF,CALL,Stray Kids,JYP,2021-10-13,0.84,0.698,10,-5.663,1,0.215,0.0,0.149,0.846,89.977,167427,4
0,0,0hnsWcb5a4H3IpAbSXeLPg,Christmas EveL,Stray Kids,JYP,2021-11-29,0.877,0.78,5,-3.703,0,0.042,0.0,0.401,0.892,139.984,178530,4
1,1,7cRYXWQjXyLg6C1Hu9uc1S,24 to 25,Stray Kids,JYP,2021-11-29,0.658,0.452,4,-4.971,1,0.534,0.0,0.0895,0.381,92.107,216773,4
2,2,68JybsZc5XKAWxmHBL8z0U,Winter Falls,Stray Kids,JYP,2021-11-29,0.69,0.735,11,-4.811,0,0.0696,0.0,0.0946,0.512,97.996,235387,4
3,3,6JcOCiL2Qlfv4aKYyg2ihk,Awaken,Stray Kids,JYP,2021-12-23,0.49,0.929,9,-2.606,0,0.151,0.0,0.396,0.503,163.992,193976,4
4,4,6w7dwWYHdrWEDmT3lBwVQB,ROCK,Stray Kids,JYP,2021-12-23,0.771,0.848,9,-4.278,0,0.0183,0.000331,0.0475,0.468,141.992,193469,4
5,5,5KjcsZHtCTxrrbr2bZluHZ,3rd Eye,Stray Kids,JYP,2021-12-23,0.688,0.725,5,-4.676,0,0.255,0.0,0.112,0.379,139.897,243961,4
6,6,0I7YEuT1gfVfNmUEDqoRs0,Placebo,Stray Kids,JYP,2021-12-23,0.799,0.811,3,-4.152,1,0.036,0.0,0.0816,0.593,100.012,234661,4
7,7,0HfcWa99R1HmLAbqWGpDRF,Insomnia,Stray Kids,JYP,2021-12-23,0.675,0.819,11,-3.528,0,0.211,0.0,0.0824,0.779,83.87,206430,4
8,8,3bYw4SExNTSeFIpRVYrNDe,Behind The Light,Stray Kids,JYP,2021-12-23,0.607,0.527,3,-6.42,1,0.455,0.0,0.121,0.473,174.148,270003,4
9,9,0H4OkBB1np7bWkCP4EnkiB,My Side,Stray Kids,JYP,2021-12-23,0.564,0.912,5,-4.951,1,0.00381,7.95e-06,0.201,0.378,166.004,216788,4
10,10,1YXrdkQxSzDI3eh08Fmp9j,N/S,Stray Kids,JYP,2021-12-23,0.811,0.659,4,-4.88,0,0.00214,0.0,0.122,0.369,130.024,224042,4
11,11,6VlDJlR0xvCjEJwkoO6agZ,0325,Stray Kids,JYP,2021-12-23,0.522,0.917,9,-3.901,0,0.00741,0.0,0.323,0.716,170.096,218442,4
12,12,3qBlU2fEz1JD098Z5nHvIo,For You,Stray Kids,JYP,2021-12-23,0.766,0.643,1,-7.138,1,0.157,0.0,0.284,0.672,114.045,249433,4
13,13,2DQ3ccmetoe0RzBnuoHVZJ,Maze of Memories,Stray Kids,JYP,2021-12-23,0.585,0.676,10,-4.598,0,0.105,0.0,0.102,0.0844,129.528,175187,4
14,14,1HIak6kcz3MRcMuMjKEMiY,Broken Compass,Stray Kids,JYP,2021-12-23,0.675,0.908,5,-3.398,0,0.117,0.0,0.107,0.638,98.09,221453,4
