,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
43,43,4DKQFPTSchm1e6itiV9lcr,オラ Yeah！,BIGBANG,YG,2009-01-01,0.84,0.833,9,-4.793,0,0.0299,0.0271,0.0,0.0965,0.813,125.026,180880
44,44,2DcOhk7VrtahPDRlS7s4B9,"So Fresh, So Cool",BIGBANG,YG,2009-04-03,0.724,0.863,9,-3.054,0,0.155,0.0163,0.0,0.31,0.689,140.018,139003
45,45,5gE2yPrsKkVIQ2WXzEKJTF,Number 1,BIGBANG,YG,2009-04-22,0.814,0.841,7,-4.716,1,0.0615,0.0255,0.0,0.486,0.815,115.016,198880
46,46,7D3mXc4XWqF3WwraXL5iDa,Make Love,BIGBANG,YG,2009-04-22,0.675,0.791,10,-3.677,0,0.0335,0.361,0.0,0.938,0.615,109.996,223800
47,47,3GXiHK4P3hdSuxEdWVo2rg,Tell Me Goodbye,BIGBANG,YG,2010-01-01,0.616,0.927,0,-3.467,0,0.143,0.188,0.0,0.218,0.525,79.918,245013
48,48,1Z9metSk7L35CWSbVzoP2w,BEAUTIFUL HANGOVER,BIGBANG,YG,2010-01-01,0.703,0.871,7,-2.606,0,0.0539,0.00501,0.0,0.078,0.508,132.914,223947
49,49,7jJnHoPel2hxKFlcLgTmoJ,Lollipop Part.2,BIGBANG,YG,2010-02-19,0.834,0.834,1,-3.207,1,0.0275,0.00163,0.0,0.162,0.803,119.981,200249
50,50,3UWJ4kyUTom1dvDTqKYy5h,Intro (Thank You & You),BIGBANG,YG,2011-02-24,0.915,0.682,8,-6.85,1,0.376,0.009,1.38e-06,0.0968,0.955,120.016,94573
51,51,1R1wuzQxZhghrjJZvqReyW,Hands Up,BIGBANG,YG,2011-02-24,0.607,0.948,9,-3.508,0,0.0652,0.0104,0.0,0.286,0.358,130.031,237253
52,52,5BGFEihEqSVBPWICqVnPIU,Tonight,BIGBANG,YG,2011-02-24,0.669,0.855,3,-4.46,0,0.0445,0.00999,0.0,0.506,0.25,129.909,222413
53,53,4UIKBrkH4ZKI2glKwQFDSV,Somebody To Love,BIGBANG,YG,2011-02-24,0.778,0.883,1,-3.125,1,0.0492,0.061,0.0,0.104,0.774,128.005,213640
54,54,7lUuLySlWkAAXF2olbxWEV,What Is Right,BIGBANG,YG,2011-02-24,0.795,0.89,8,-2.78,0,0.0368,0.235,0.0,0.204,0.734,126.037,224320
55,55,4mm23jt7cimDkeHu1VcS2v,Cafe,BIGBANG,YG,2011-02-24,0.798,0.749,5,-4.938,0,0.0424,0.229,0.0,0.338,0.704,106.049,219947
56,56,784qSLhmIjbc37plSfaPzF,Love Song,BIGBANG,YG,2011-04-08,0.554,0.868,2,-3.9,1,0.0455,0.00273,1.06e-05,0.0725,0.301,123.04,225813
57,57,0ZHfjGYU26P7B0j1MmHeG8,Stupid Liar,BIGBANG,YG,2011-04-08,0.624,0.81,0,-4.322,1,0.0336,0.0627,0.0,0.105,0.491,127.93,234787
58,58,0RpnRG4ZJBNeaHoqTF7h5U,High High,GD&TOP,YG,2011-04-08,0.697,0.851,5,-4.493,1,0.0802,0.00719,0.0,0.0907,0.599,130.023,190187
59,59,2rPldM3LvVScZkI7drfLuI,Oh Yeah,GD&TOP,YG,2011-04-08,0.618,0.794,9,-2.302,1,0.0777,0.0314,0.0,0.132,0.601,130.001,199027
60,60,334sBXJEz428B63ANg52sq,I Need a Girl,TAEYANG,YG,2011-04-08,0.704,0.546,11,-6.772,1,0.0509,0.452,0.0,0.0977,0.526,114.93,220133
61,61,2xi3O5Z1sApFoIjbskYfcD,Baby Don't Cry,DAESUNG,YG,2011-04-08,0.649,0.756,2,-5.35,1,0.0309,0.038,0.0,0.381,0.343,95.006,271760
62,62,26JeAi8xsSvLRoNsl9B8Js,FANTASTIC BABY - Japanese ver.,BIGBANG,YG,2012-03-28,0.723,0.828,11,-3.498,0,0.0729,0.00455,0.0,0.0405,0.433,130.01,231627
63,63,2e9empq1ESNgbBzZ1WQDt4,Still Alive,BIGBANG,YG,2012-06-20,0.682,0.921,1,-3.804,1,0.289,0.0341,0.0,0.151,0.611,109.919,197613
64,64,0waIm4YC88mWbGL1eHEyEn,MONSTER - Japanese Ver.,BIGBANG,YG,2012-06-20,0.64,0.758,0,-4.535,1,0.0544,0.0129,0.0,0.0957,0.498,127.945,233653
65,65,4G1DVtcCpyzcA3tBjOvF38,Intro (Alive),BIGBANG,YG,2012-02-29,0.641,0.914,10,-4.549,0,0.221,0.0105,0.0,0.194,0.73,110.08,47643
66,66,4LOLvDtzykDC7y9WehFoOi,Blue,BIGBANG,YG,2012-02-29,0.608,0.706,7,-7.275,1,0.0853,0.0595,0.0,0.056,0.357,124.985,233099
67,67,6mTFH5acKqe2fpxuFmiDjr,Love Dust (사랑 먼지),BIGBANG,YG,2012-02-29,0.663,0.757,0,-5.336,1,0.0857,0.0337,0.0,0.267,0.56,129.888,231816
68,68,7GLlnuHjYIKy3YR59ziaQe,Bad Boy,BIGBANG,YG,2012-02-29,0.597,0.764,9,-4.859,0,0.139,0.0148,0.0,0.126,0.364,74.98,236817
69,69,4ay2yecNFJtNuPOVojzHEZ,Ain't No Fun (재미없어),BIGBANG,YG,2012-02-29,0.766,0.557,9,-6.869,0,0.0491,0.00611,0.0,0.0818,0.747,124.027,222186
70,70,26eV0R7nbqtlzh316ncU99,Fantastic Baby,BIGBANG,YG,2012-02-29,0.725,0.841,2,-3.924,1,0.0545,0.002,0.0,0.0652,0.582,130.013,230573
71,71,0VpEWyA1qlKP9XkQ6f4mWB,Wings (날개) [Daesung Solo],BIGBANG,YG,2012-02-29,0.622,0.812,5,-4.585,1,0.0337,0.00222,2.63e-06,0.216,0.354,131.975,222990
72,72,0c7QMo952Ga2qAJMdfEcrb,Monster,BIGBANG,YG,2012-06-03,0.643,0.786,0,-4.251,1,0.0414,0.00584,0.0,0.369,0.462,128.003,231293
73,73,0LpZo1lRGyuiEyb5CtF3ja,Feeling,BIGBANG,YG,2012-06-03,0.797,0.783,7,-3.904,1,0.153,0.0182,0.0,0.133,0.67,126.933,215480
74,74,5nEqDf0voYu56KiHf7cfDe,Bingle Bingle (빙글빙글),BIGBANG,YG,2012-06-03,0.74,0.773,1,-3.324,0,0.0397,0.00874,0.0,0.059,0.81,125.042,180533
75,75,6whEx8LRxGMFj0oqXP0vX3,Ego,BIGBANG,YG,2012-06-03,0.794,0.788,10,-3.853,0,0.0404,0.0209,0.0,0.131,0.842,120.995,205200
76,76,7HRryO8lOrZswU7WR4K6V3,あんなヤツ,G-DRAGON,YG,2012-12-05,0.743,0.447,7,-6.872,1,0.0679,0.532,0.0,0.237,0.766,119.798,199733
77,77,6A4k0eQrXQYJjXEk7PwEWs,WING - JPN Ver.,DAESUNG,YG,2012-12-05,0.63,0.908,0,-2.896,1,0.0382,0.00741,5.37e-06,0.333,0.409,131.937,222680
78,78,6SV38MiP0iHrFEMmxdoklr,HIGH HIGH - JPN Ver.,GD&TOP,YG,2012-12-05,0.695,0.842,10,-3.779,1,0.0448,0.000839,0.0,0.104,0.626,129.952,185720
79,79,3Us7aZzRAmiAQ0fyfR1rfR,FXXK IT - KR Ver.,BIGBANG,YG,2017-02-15,0.716,0.753,0,-3.03,0,0.123,0.162,0.0,0.192,0.56,90.06,233787
80,80,7FZjVItt5HfrfcdFVJyY4v,LAST DANCE - KR Ver.,BIGBANG,YG,2017-02-15,0.618,0.67,1,-3.085,0,0.059,0.454,0.0,0.143,0.288,143.905,281640
81,81,2Lfo03sWbKD0u0Ti99vvw9,GIRLFRIEND - KR Ver.,BIGBANG,YG,2017-02-15,0.468,0.787,0,-2.312,0,0.238,0.181,0.0,0.196,0.431,169.951,231067
82,82,6bbLpbg0cV5L3yaPpuwBuH,LOSER,BIGBANG,YG,2015-05-01,0.639,0.692,3,-4.127,1,0.107,0.338,0.0,0.356,0.488,89.846,219371
83,83,0hQ9Bc0QhVuMEAUWaDFbZX,BAE BAE,BIGBANG,YG,2015-05-01,0.691,0.631,0,-4.804,1,0.0374,0.00674,0.0,0.186,0.435,139.954,169430
84,84,36tSJjMdDZeQFFIZIHYtd8,BANG BANG BANG,BIGBANG,YG,2015-06-01,0.69,0.843,1,-2.949,1,0.0534,0.0167,0.0,0.346,0.428,135.01,220178
85,85,0MuTMskE4WK5WGI82ASFTB,WE LIKE 2 PARTY,BIGBANG,YG,2015-06-01,0.666,0.916,1,-3.286,0,0.297,0.0172,0.0,0.397,0.694,89.952,195516
86,86,3KJXJwWN6Y9CMjeKWb792Z,IF YOU,BIGBANG,YG,2015-07-01,0.672,0.46,1,-6.213,1,0.0292,0.521,0.0,0.144,0.204,141.822,264216
87,87,1Me50eXOFCm8pjPJqcsLmq,SOBER,BIGBANG,YG,2015-07-01,0.653,0.835,5,-3.39,1,0.0787,0.00738,0.0,0.91,0.537,129.948,237513
88,88,5sIKdFa1uGfqlPGul5cnn4,ZUTTER (GD&T.O.P),BIGBANG,YG,2015-08-05,0.818,0.409,10,-5.384,0,0.0789,0.0981,0.0,0.122,0.315,90.024,194436
0,0,1MHf0s6R6JK633ASOxVW71,Let's not fall in love,BIGBANG,YG,2015-08-05,0.68,0.846,0,-4.217,1,0.0498,0.103,0.0,0.115,0.659,124.984,211927
1,1,5tmKSkKHNVrxh4Fctj2TdS,FLOWER ROAD,BIGBANG,YG,2018-03-13,0.71,0.654,1,-4.765,0,0.0858,0.124,0.0,0.15,0.624,94.862,228632
2,2,3TSLqZssCoCdDlMhCJ08XW,Still Life,BIGBANG,YG,2022-04-05,0.68,0.584,8,-4.457,1,0.034,0.443,0.0,0.0628,0.239,118.06,188369
3,3,5HGtC1DZxHYWJiggLc0qaZ,Only Look At Me Pt.2,G-DRAGON,YG,2008-06-30,0.72,0.692,2,-5.308,1,0.0414,0.352,0.0,0.123,0.781,140.111,239714
4,4,6CtYW6EWGMbfe96eqwCThq,One Of A Kind,G-DRAGON,YG,2012-09-15,0.632,0.801,7,-6.105,1,0.304,0.135,0.0,0.0876,0.749,171.977,205876
