,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6,6,028XrbNPgtmnSSScHuWuG1,Jekyll,EXO,SM,2019-11-27,0.721,0.57,11,-3.759,0,0.0567,0.438,0.0,0.0975,0.472,99.988,221267
7,7,4Xi0jBySALbHLMh9MnSvAb,Groove,EXO,SM,2019-11-27,0.628,0.801,0,-4.744,1,0.0416,0.287,1.22e-06,0.0903,0.44,98.022,208613
8,8,2Dn0UlDRJ4iSMlSdZ103pg,Ya Ya Ya,EXO,SM,2019-11-27,0.369,0.772,1,-4.049,1,0.3,0.0573,0.0,0.325,0.491,205.177,222040
9,9,1j37dCqGQuvWNYg80RIiOu,Baby You Are,EXO,SM,2019-11-27,0.768,0.778,11,-6.184,0,0.0728,0.118,0.0,0.202,0.784,107.935,178920
10,10,7bTYdDUxiFegwLJm6u743n,Non Stop,EXO,SM,2019-11-27,0.729,0.887,7,-3.28,1,0.0631,0.303,0.0,0.232,0.602,116.006,204240
11,11,7x2PMStZn3xJqeLXHODckx,Day After Day,EXO,SM,2019-11-27,0.397,0.675,1,-4.925,0,0.112,0.277,0.0,0.0874,0.452,102.941,222333
12,12,3ki9UrYL2TZxYAyyGIPMPz,Butterfly Effect,EXO,SM,2019-11-27,0.684,0.842,4,-4.637,0,0.0778,0.232,0.0,0.0721,0.669,104.003,190360
13,13,42fR3oINF3KfXCDtheoNiY,Don't fight the feeling,EXO,SM,2021-06-07,0.707,0.838,9,-2.983,0,0.117,0.0585,0.0,0.095,0.832,128.007,176547
14,14,0KDCkxCsEBoSWj5fsyuvWq,Paradise,EXO,SM,2021-06-07,0.799,0.731,6,-2.777,0,0.0743,0.351,0.0,0.0903,0.648,111.991,217320
15,15,5fumVsa0IxAEJvHHu2F2k5,No matter,EXO,SM,2021-06-07,0.712,0.837,4,-2.893,0,0.0539,0.0595,0.0,0.209,0.433,97.977,222933
16,16,238Ra1ggmx3wUkHyZ8EjST,Runaway,EXO,SM,2021-06-07,0.425,0.723,0,-3.928,1,0.0685,0.264,0.0,0.121,0.31,179.848,207733
17,17,64xTu0cKbXu3ZSRkfXiBnx,Just as usual,EXO,SM,2021-06-07,0.663,0.487,4,-5.933,1,0.0308,0.402,0.0,0.354,0.584,94.115,207333
18,18,5e6hUjvQG2inD4Svco0PvP,Let Me In,EXO,SM,2023-06-12,0.549,0.675,1,-4.964,0,0.045,0.461,0.0,0.171,0.373,84.013,197533
19,19,44EXniDpWap2veS1gH1svO,Hear Me Out,EXO,SM,2023-06-30,0.666,0.727,0,-2.375,0,0.0534,0.095,0.0,0.305,0.591,92.056,204093
20,20,42h7yc9Rda1IOMYLACVgld,Cream Soda,EXO,SM,2023-07-10,0.623,0.838,4,-2.454,0,0.15,0.0849,0.0,0.186,0.684,155.617,185320
21,21,21bzlRvgyr4nHdav7ayosn,Regret It,EXO,SM,2023-07-10,0.798,0.731,6,-3.211,1,0.0583,0.0142,0.0,0.0278,0.588,103.015,175840
22,22,6UbC3x9AIQEnJn5CLrtXge,Private Party,EXO,SM,2023-07-10,0.783,0.828,10,-3.642,0,0.0565,0.211,0.0,0.0925,0.789,121.01,189813
23,23,7I5GXijbz8XNZjbn45t8bu,Cinderella,EXO,SM,2023-07-10,0.639,0.688,9,-3.353,0,0.104,0.221,0.0,0.164,0.58,104.705,154587
24,24,3pT5BuUxD9wwpyR3F6u92U,No Makeup,EXO,SM,2023-07-10,0.581,0.806,1,-3.312,1,0.0713,0.544,0.0,0.344,0.639,81.0,204853
25,25,6xiWbjsJD3pBKdM8tH46qH,Love Fool,EXO,SM,2023-07-10,0.636,0.874,1,-1.32,0,0.0818,0.0443,0.0,0.0241,0.689,164.975,202733
26,26,7BE2rwnP5B2bCeLLpY40Tm,Another Day,EXO,SM,2023-07-10,0.672,0.83,4,-3.816,0,0.178,0.0488,0.0,0.0813,0.627,99.747,191067
27,27,53LEFZFqPLoN0tWwaTk17C,The One,EXO-CBX,SM,2016-10-31,0.665,0.861,6,-4.378,0,0.128,0.0731,0.0,0.157,0.717,132.943,209132
28,28,20bWnhRylVPnTpfsuIzorG,Hey Mama!,EXO-CBX,SM,2016-10-31,0.532,0.859,1,-4.106,1,0.142,0.0662,0.0,0.684,0.934,118.919,199796
29,29,4oshAVovZxjAWT8TRhRdNC,Rhythm After Summer,EXO-CBX,SM,2016-10-31,0.65,0.929,6,-3.583,0,0.125,0.0404,0.0,0.0864,0.55,124.996,209305
30,30,22fkACoSaO4drFbiTtxolG,Juliet,EXO-CBX,SM,2016-10-31,0.612,0.887,5,-3.658,0,0.0465,0.0501,0.0,0.0708,0.619,107.999,211744
31,31,7bsfn13Pj9wzJkHnKlrHBk,Cherish,EXO-CBX,SM,2016-10-31,0.639,0.894,7,-3.125,1,0.0412,0.176,0.0,0.061,0.877,115.019,199524
32,32,2FTEtTZ0DBo5leLkrI7DCU,Girl Problems,EXO-CBX,SM,2017-05-24,0.717,0.947,1,-3.515,1,0.0705,0.0724,0.0,0.643,0.818,110.997,218013
33,33,5w4Zj0DHPKTJ8K8VL9yUjv,Ka-CHING!,EXO-CBX,SM,2017-05-24,0.741,0.848,10,-3.26,1,0.137,0.026,0.0,0.521,0.898,146.025,206853
34,34,3T0wQ5v4VSsc8OwJD2oNgz,Tornado Spiral,EXO-CBX,SM,2017-05-24,0.753,0.964,9,-3.198,1,0.0852,0.0314,9.01e-06,0.286,0.965,139.004,219507
35,35,6Z8Ybkf637gXURCwUTsQqj,Miss You,EXO-CBX,SM,2017-05-24,0.666,0.904,2,-5.357,1,0.0443,0.00714,0.0,0.0711,0.779,110.013,206893
36,36,7jqlogJxaMcbBEazMDpgnL,Diamond Crystal,EXO-CBX,SM,2017-05-24,0.539,0.778,2,-3.19,1,0.0457,0.389,0.0,0.197,0.489,143.909,223293
37,37,4AK9TRA3PtG6GcU1XaypMs,KING and QUEEN,EXO-CBX,SM,2017-05-24,0.642,0.906,8,-4.833,0,0.257,0.116,0.0,0.141,0.804,149.96,224480
38,38,0XMORQgKnVYNvqYZNfBqAA,Monday Blues,EXO-CBX,SM,2018-04-10,0.688,0.632,5,-4.111,1,0.0898,0.11,0.0,0.221,0.485,140.947,201610
39,39,4kmp56RAtXEzHOANS0BaLX,花요일 Blooming Day,EXO-CBX,SM,2018-04-10,0.735,0.736,4,-3.266,0,0.277,0.00511,0.0,0.165,0.813,117.975,199846
40,40,1zNxzxkuwb03MRV6ipDFG1,내일 만나 Sweet Dreams!,EXO-CBX,SM,2018-04-10,0.651,0.718,5,-4.602,0,0.0571,0.0129,0.0,0.0817,0.67,114.984,186899
41,41,5mXqRd0JvwJ3NxvHmzlsTB,Thursday,EXO-CBX,SM,2018-04-10,0.689,0.559,1,-5.094,0,0.0614,0.387,0.0,0.308,0.591,140.108,185060
42,42,6VhL4o8KH9MB7lVaFomlPE,Vroom Vroom,EXO-CBX,SM,2018-04-10,0.717,0.669,1,-4.939,1,0.0629,0.057,0.0,0.356,0.498,110.06,166316
43,43,1OCheuNSzM6kBF1d6yWaeh,Playdate,EXO-CBX,SM,2018-04-10,0.692,0.824,2,-2.785,1,0.0554,0.0481,0.0,0.069,0.676,105.004,210925
44,44,6JNBzJx22UEmNz6X2cCXQq,휴일 Lazy,EXO-CBX,SM,2018-04-10,0.717,0.748,1,-3.731,1,0.031,0.0249,0.0,0.321,0.848,100.026,205126
45,45,4WEDwbFzxYsd28HZtuG7Yd,Paper Cuts,EXO-CBX,SM,2019-04-10,0.573,0.512,7,-4.723,1,0.0287,0.32,0.0,0.103,0.207,130.897,218990
46,46,5ccC5BRdXIpFAvjK7Peu9Q,CBX,EXO-CBX,SM,2018-05-09,0.69,0.946,7,-2.652,1,0.0744,0.0431,0.0,0.159,0.88,120.055,183182
47,47,6u2lCxHSfDki4rhl9pkI0C,Horololo,EXO-CBX,SM,2018-05-09,0.757,0.941,7,-2.123,1,0.0878,0.231,0.0,0.0582,0.641,95.012,192005
48,48,5RKlHePZ2U0DozwXxWUQDn,Shake,EXO-CBX,SM,2018-05-09,0.58,0.918,11,-4.372,1,0.0616,0.012,0.0,0.105,0.519,99.912,218889
49,49,7tJJaQiOdQeuPHrrsFNHJq,Off The Wall,EXO-CBX,SM,2018-05-09,0.707,0.795,11,-4.178,1,0.108,0.00138,0.00871,0.117,0.817,120.011,193980
50,50,2Wf4D7Tlz97Ab4cSayBI2H,Ringa-Ringa-Ring,EXO-CBX,SM,2018-05-09,0.6,0.886,2,-1.97,1,0.0327,0.000466,1.38e-05,0.0883,0.421,99.975,217013
51,51,6lznR6nbpzjJmZoZ3Dfo51,Gentleman,EXO-CBX,SM,2018-05-09,0.651,0.911,7,-3.148,1,0.125,0.0281,0.0,0.0831,0.815,149.909,214503
52,52,1mid1NdTSXnjaC0bG8iI0f,Watch Out,EXO-CBX,SM,2018-05-09,0.408,0.914,0,-2.856,1,0.117,0.0408,0.0,0.193,0.874,91.785,218586
53,53,5H66Hq2HgWs3US0qJvztia,Cry,EXO-CBX,SM,2018-05-09,0.594,0.612,4,-2.944,1,0.0303,0.0905,0.0,0.291,0.216,129.943,259973
54,54,0g1PR5FLD3zH1cAnhFGUp3,In This World,EXO-CBX,SM,2018-05-09,0.365,0.841,3,-2.92,1,0.0462,0.269,0.0,0.122,0.517,114.81,266984
55,55,5dntGTbUtmUO239wQ0k3yM,Mmmh,KAI,SM,2020-11-30,0.659,0.718,7,-5.607,0,0.0507,0.202,1.01e-06,0.2,0.297,136.96,192347
56,56,031mgKcbAk6cL9ZpfIEq4K,Nothing On Me,KAI,SM,2020-11-30,0.517,0.626,11,-4.057,0,0.0627,0.036,3.42e-05,0.39,0.324,105.212,160787
